melinda_id;original;cleaned;converted;udk_count
003752103;355.2|355.212;355.2;355.212;Värväys. Asehankinnat. Sodankäyntikyky. Kutsunnat;Undetermined;2
003752259;;NA;NA;0
003752276;304;304;Yhteiskuntapolitiikka. Sosiaalipolitiikka ;1
003753561;378.4|894.541|378.4 Helsingin yliopisto;378.4;894.541;Yliopistot;Suomenkielinen kirjallisuus;2
003753562;378.4|839.79|378.4 Helsingin yliopisto;378.4;839.79;Yliopistot;Suomenruotsalainen kirjallisuus;2
003753563;378.4|894.541;378.4;894.541;Yliopistot;Suomenkielinen kirjallisuus;2
003753573;378.4|894.541|378.4 Helsingin yliopisto;378.4;894.541;Yliopistot;Suomenkielinen kirjallisuus;2
003753577;378.4|378.4 Helsingin yliopisto;378.4;Yliopistot;1
003754138;0;0;Undetermined;1
003754859;;NA;NA;0
003754907;178.1/.2|364.27|613.81;178.1/.2;364.27;613.81;Undetermined;Undetermined;Undetermined;3
003756603;355/359|940|948.0;355/359;940;948.0;Sotataito. Sotatiede. Maanpuolustus;Euroopan historia;Suomen historia;3
003756687;908 Viipurin lääni|948.0|631.1|948.0.02/.07;908;948.0;631.1;948.0.02/.07;Paikallishistoriat. Kotiseutu ;Suomen historia;Maatilan hoito ja organisointi (maatalousekonomia);Undetermined;4
003757474;8|809.454.1|809.454.1(07);8;809.454.1;809.454.1(07);Kielitiede. Kirjallisuus;Suomen kieli;Undetermined;3
003757488;28|271;28;271;Kristilliset kirkot. Kristilliset yhteisöt. Kristillisperäiset yhteisöt;Idän kirkko. Itäinen kristinusko;2
003757534;;NA;NA;0
003757996;334.5|631;334.5;631;Undetermined;Maatalous. Maatalouspolitiikka;2
003760072;;NA;NA;0
003760125;;NA;NA;0
003760247;37;37;Kasvatus. Opetus. Koulutus;1
003760547;930.2|929|929 Kaarle XII;930.2;929;Historian metodologia. Historian aputieteet;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;2
003760553;3|944.033|940;3;944.033;940;Yhteiskuntatieteet;Undetermined;Euroopan historia;3
003760573;304|940;304;940;Yhteiskuntapolitiikka. Sosiaalipolitiikka ;Euroopan historia;2
003760636;940;940;Euroopan historia;1
003760872;371.44|371.4|37;371.44;371.4;37;Undetermined;Undetermined;Kasvatus. Opetus. Koulutus;3
003760986;;NA;NA;0
003761403;940|948.0|327|327;940;948.0;327;Euroopan historia;Suomen historia;Kansainväliset suhteet. Kansainvälinen politiikka. Ulkopolitiikka;3
003761404;948.0|342|323.1;948.0;342;323.1;Suomen historia;Julkisoikeus. Valtio-oikeus. Valtiosääntöoikeus. Perusoikeudet. Kansalaisoikeudet. Ihmisoikeudet ;Kansallisuusliikkeet. Kansallisuuskysymykset. Kansalliset vähemmistöt;3
003761620;948.026/.029;948.026/.029;Undetermined;1
003761632;935.4|935.2|22.09;935.4;935.2;22.09;Undetermined;Undetermined;Undetermined;3
003761711;839.79|839.79|839.79;839.79;Suomenruotsalainen kirjallisuus;1
003761816;930.85|796.1|793/795|792.9|792.8|791.7/.8|394.3|351.855|159.922.7;930.85;796.1;793/795;792.9;792.8;791.7/.8;394.3;351.855;159.922.7;Sivistyshistoria. Kulttuurihistoria;Ulkoleikit ja virkistys;Undetermined;Undetermined;Liikuntataide-esitykset. Koreografia;Undetermined;Undetermined;Undetermined;Undetermined;9
003762310;948.0|929|908;948.0;929;908;Suomen historia;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Paikallishistoriat. Kotiseutu ;3
003762365;929 Forsskål;929;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;1
003762366;7.041;7.041;Undetermined;1
003762831;;NA;NA;0
003762944;;NA;NA;0
003763167;948.03|948|948.5;948.03;948;948.5;Undetermined;Undetermined;Undetermined;3
003763870;894.541;894.541;Suomenkielinen kirjallisuus;1
003763873;894.541|894.541;894.541;Suomenkielinen kirjallisuus;1
003765179;;NA;NA;0
003765186;;NA;NA;0
003765383;929 Kolumbus|910.4;929;910.4;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Tutkimusmatkat;2
003766626;937;937;Undetermined;1
003768292;;NA;NA;0
003768791;;NA;NA;0
003769707;940|947;940;947;Euroopan historia;Undetermined;2
000896528;;NA;NA;0
000896529;;NA;NA;0
000896530;;NA;NA;0
000896531;;NA;NA;0
000896533;839.6;839.6;Norjankielinen kirjallisuus;1
000896535;26|24;26;24;Kristillinen kirkko. Kirkon hallinto. Kirkko ja yhteiskunta. Ekumenia. Liturgiikka. Sakramentit. Kristillinen kasvatus. Kristilliset järjestöt. Diakonia. Lähetystyö;Kristillinen etiikka. Kristillinen taide. Hymnologia. Hartaus. Mystiikka. Askeesi. Uskonnolliset kokemukset ;2
000896537;;NA;NA;0
000896540;;NA;NA;0
000896756;;NA;NA;0
000896829;;NA;NA;0
000896830;;NA;NA;0
000896843;;NA;NA;0
000896862;;NA;NA;0
000896866;;NA;NA;0
000896913;;NA;NA;0
000896915;;NA;NA;0
000896920;;NA;NA;0
000896965;;NA;NA;0
000896971;;NA;NA;0
000896977;;NA;NA;0
000896978;;NA;NA;0
000896979;;NA;NA;0
000896987;;NA;NA;0
000896988;;NA;NA;0
000896990;;NA;NA;0
000896991;;NA;NA;0
000896992;;NA;NA;0
000896993;;NA;NA;0
000896994;22/28;22/28;Kristinusko. Kristillinen teologia.;1
000896997;929 Büchsel|25|253;929̈;25;253;Undetermined;Pastoraaliteologia. Homiletiikka. Saarnaoppi. Saarnat. Sielunhoito;Undetermined;3
000896998;5;5;Matematiikka. Luonnontieteet;1
000896999;;NA;NA;0
000897011;;NA;NA;0
