Name	Count	Percentage
Danish;English;German	     2	 0.00
Danish;Finnish;Icelandic;Norwegian;Swedish	     2	 0.00
Danish;Latin	     2	 0.00
Danish;Norwegian;Swedish;Finnish	     2	 0.00
Dutch;French	     2	 0.00
Dutch;German	     2	 0.00
Dutch;Latin	     2	 0.00
Dutch;Swedish	     2	 0.00
Dutch;Swedish;English;French	     2	 0.00
English, Middle (1100-1500)	     2	 0.00
English;Danish;Norwegian;Swedish	     2	 0.00
English;Dutch	     2	 0.00
English;Finnish;French	     2	 0.00
English;Finnish;Portuguese	     2	 0.00
English;Finnish;Swedish;German;French	     2	 0.00
English;Finnish;Ukrainian	     2	 0.00
English;French;German;Finnish;Multiple languages	     2	 0.00
English;French;German;Spanish	     2	 0.00
English;French;German;Swedish	     2	 0.00
English;German;French;Swedish	     2	 0.00
English;German;Hungarian	     2	 0.00
English;German;Latin	     2	 0.00
English;German;Swedish	     2	 0.00
English;Hungarian	     2	 0.00
English;Lithuanian	     2	 0.00
English;Multiple languages;Swedish;German;Finnish	     2	 0.00
English;Papuan (Other)	     2	 0.00
English;Persian	     2	 0.00
English;Swedish;Danish	     2	 0.00
English;Swedish;Danish;Norwegian	     2	 0.00
English;Swedish;German;Danish	     2	 0.00
English;Turkish	     2	 0.00
Estonian;Finnish;English;Russian	     2	 0.00
Estonian;Finnish;Hungarian	     2	 0.00
Filipino;Finnish	     2	 0.00
Finnish;Afroasiatic (Other)	     2	 0.00
Finnish;Burmese;English	     2	 0.00
Finnish;Catalan	     2	 0.00
Finnish;Egyptian	     2	 0.00
Finnish;English;Czech	     2	 0.00
Finnish;English;Danish	     2	 0.00
Finnish;English;Estonian;French;German;Russian;Northern Sami;Spanish;Swedish	     2	 0.00
Finnish;English;Estonian;Multiple languages	     2	 0.00
Finnish;English;Estonian;Russian	     2	 0.00
Finnish;English;French;Swedish;German;Spanish;Estonian;Russian	     2	 0.00
Finnish;English;German;Italian	     2	 0.00
Finnish;English;German;Russian;Hungarian	     2	 0.00
Finnish;English;German;Russian;Swedish	     2	 0.00
Finnish;English;Hebrew	     2	 0.00
Finnish;English;Korean	     2	 0.00
Finnish;English;Norwegian	     2	 0.00
Finnish;English;Polish	     2	 0.00
Finnish;English;Russian;Estonian	     2	 0.00
Finnish;English;Russian;Ukrainian	     2	 0.00
Finnish;English;Somali	     2	 0.00
Finnish;English;Spanish;Portuguese;Arabic;Japanese;Korean;Russian;French;Swedish;Italian;German	     2	 0.00
Finnish;English;Swedish;Estonian	     2	 0.00
Finnish;English;Swedish;German;French;Estonian;Russian	     2	 0.00
Finnish;English;Tatar	     2	 0.00
Finnish;English;Thai	     2	 0.00
Finnish;Erzya	     2	 0.00
Finnish;Estonian;German	     2	 0.00
Finnish;Estonian;German;Russian	     2	 0.00
Finnish;Estonian;Hungarian	     2	 0.00
Finnish;Estonian;Italian	     2	 0.00
Finnish;French;Russian	     2	 0.00
Finnish;German;Japanese	     2	 0.00
Finnish;German;Undetermined	     2	 0.00
Finnish;Hebrew;Syriac;Greek, Modern (1453-)	     2	 0.00
Finnish;Hungarian;Latin	     2	 0.00
Finnish;Japanese;English	     2	 0.00
Finnish;Korean	     2	 0.00
Finnish;Latin;German	     2	 0.00
Finnish;Multiple languages;Swedish	     2	 0.00
Finnish;Northern Sami;English;German	     2	 0.00
Finnish;Norwegian;Danish	     2	 0.00
Finnish;Norwegian;French;Swedish;English;Russian;Northern Sami	     2	 0.00
Finnish;Norwegian;Russian	     2	 0.00
Finnish;Norwegian;Swedish	     2	 0.00
Finnish;Russian;English;Spanish	     2	 0.00
Finnish;Russian;Finno-Ugrian (Other)	     2	 0.00
Finnish;Sami;German	     2	 0.00
Finnish;Serbian;English	     2	 0.00
Finnish;Spanish;English	     2	 0.00
Finnish;Spanish;Sami	     2	 0.00
Finnish;Swedish;Danish;English;German	     2	 0.00
Finnish;Swedish;Danish;Icelandic;Norwegian;English	     2	 0.00
Finnish;Swedish;Danish;Norwegian;Icelandic	     2	 0.00
Finnish;Swedish;Danish;Norwegian;Icelandic;English	     2	 0.00
Finnish;Swedish;English;Esperanto	     2	 0.00
Finnish;Swedish;English;French;Spanish	     2	 0.00
Finnish;Swedish;English;French;Spanish;Italian;German;Estonian;Norwegian	     2	 0.00
Finnish;Swedish;English;German;French;Estonian;Russian	     2	 0.00
Finnish;Swedish;English;German;Latin	     2	 0.00
Finnish;Swedish;English;German;Russian;French	     2	 0.00
Finnish;Swedish;English;German;Spanish	     2	 0.00
Finnish;Swedish;English;Multiple languages;German	     2	 0.00
Finnish;Swedish;English;Northern Sami	     2	 0.00
Finnish;Swedish;English;Norwegian	     2	 0.00
Finnish;Swedish;English;Russian;Sami	     2	 0.00
Finnish;Swedish;English;Sami	     2	 0.00
Finnish;Swedish;Estonian;English	     2	 0.00
Finnish;Swedish;French;German	     2	 0.00
Finnish;Swedish;French;Russian	     2	 0.00
Finnish;Swedish;German;English;Russian	     2	 0.00
Finnish;Swedish;Norwegian;English	     2	 0.00
Finnish;Swedish;Norwegian;Slavey	     2	 0.00
Finnish;Welsh	     2	 0.00
Finno-Ugrian (Other);Karelian;Russian	     2	 0.00
French;Arabic	     2	 0.00
French;English;German;Dutch;Italian;Spanish	     2	 0.00
French;English;German;Dutch;Italian;Spanish;Portuguese	     2	 0.00
French;Finnish;Swedish	     2	 0.00
French;German;English	     2	 0.00
French;German;Russian	     2	 0.00
French;Italian;Spanish;Portuguese	     2	 0.00
French;Multiple languages	     2	 0.00
German;Danish	     2	 0.00
German;Dutch;English;French;Italian;Spanish	     2	 0.00
German;English;Italian	     2	 0.00
German;Finnish;English	     2	 0.00
German;Finnish;Swedish;Russian	     2	 0.00
German;French;English;Italian	     2	 0.00
German;Latin;Estonian	     2	 0.00
