melinda_id	id2	field008_6	publication_status	original	publication_year
1104021	FCC009793348|1104021	s	Single known date/probable date	uuuu	NA
1104031	FCC009793394|1104031	s	Single known date/probable date	uuuu	NA
1104121	FCC009794451|1104121	s	Single known date/probable date	uuuu	NA
1104125	FCC009794462|1104125	s	Single known date/probable date	uuuu	NA
1104127	FCC009794466|1104127	s	Single known date/probable date	uuuu	NA
1104129	FCC009794471|1104129	s	Single known date/probable date	uuuu	NA
1104130	FCC009794475|1104130	s	Single known date/probable date	uuuu	NA
1104133	FCC009794479|1104133	s	Single known date/probable date	uuuu	NA
1104176	FCC009796865|1104176	s	Single known date/probable date	uuuu	NA
1104444	FCC009800979|1104444	s	Single known date/probable date	201u	NA
1104714	FCC009802875|1104714	s	Single known date/probable date	201u	NA
1104715	FCC009802981|1104715	s	Single known date/probable date	201u	NA
1104716	FCC009802990|1104716	s	Single known date/probable date	201u	NA
1104745	FCC009804139|1104745	s	Single known date/probable date	200u	NA
1104746	FCC009804145|1104746	s	Single known date/probable date	200u	NA
1104747	FCC009804149|1104747	s	Single known date/probable date	200u	NA
1104754	FCC009804192|1104754	s	Single known date/probable date	201u	NA
1104758	FCC009804202|1104758	s	Single known date/probable date	201u	NA
1104760	FCC009804208|1104760	s	Single known date/probable date	200u	NA
1104765	FCC009804230|1104765	s	Single known date/probable date	200u	NA
1104766	FCC009804232|1104766	s	Single known date/probable date	200u	NA
1104768	FCC009804240|1104768	s	Single known date/probable date	200u	NA
1104778	FCC009804341|1104778	s	Single known date/probable date	200u	NA
1105013	FCC009805708|1105013	s	Single known date/probable date	200u	NA
1105021	FCC009805739|1105021	s	Single known date/probable date	201u	NA
1105023	FCC009805753|1105023	s	Single known date/probable date	201u	NA
1105083	FCC009806332|1105083	s	Single known date/probable date	201u	NA
1105204	FCC009806880|1105204	s	Single known date/probable date	200u	NA
1105334	FCC009813604|1105334	s	Single known date/probable date	201u	NA
1105335	FCC009813634|1105335	s	Single known date/probable date	201u	NA
1105713	FCC009843292|1105713	s	Single known date/probable date	200u	NA
1105715	FCC009843296|1105715	s	Single known date/probable date	uuuu	NA
1105717	FCC009843303|1105717	s	Single known date/probable date	200u	NA
1105718	FCC009843307|1105718	s	Single known date/probable date	200u	NA
1105719	FCC009843308|1105719	s	Single known date/probable date	200u	NA
1105720	FCC009843310|1105720	s	Single known date/probable date	200u	NA
1105743	FCC009843537|1105743	s	Single known date/probable date	201u	NA
1106137	FCC009845568|1106137	s	Single known date/probable date	201u	NA
1106143	FCC009845584|1106143	s	Single known date/probable date	201u	NA
1106162	FCC009845626|1106162	s	Single known date/probable date	201u	NA
1107125	FCC009850878|1107125	s	Single known date/probable date	201u	NA
1107635	FCC009853987|1107635	s	Single known date/probable date	201u	NA
1107638	FCC009853993|1107638	s	Single known date/probable date	201u	NA
1107653	FCC009854067|1107653	s	Single known date/probable date	201u	NA
1110001	FCC009869841|1110001	s	Single known date/probable date	20uu	NA
1110102	FCC009870322|1110102	s	Single known date/probable date	201u	NA
1110181	FCC009870709|1110181	s	Single known date/probable date	201u	NA
1110184	FCC009870738|1110184	s	Single known date/probable date	201u	NA
1110195	FCC009870875|1110195	s	Single known date/probable date	201u	NA
1110198	FCC009870914|1110198	s	Single known date/probable date	201u	NA
1110591	FCC009874786|1110591	s	Single known date/probable date	201u	NA
1110681	FCC009876426|1110681	s	Single known date/probable date	201u	NA
1110682	FCC009876429|1110682	s	Single known date/probable date	201u	NA
1110686	FCC009876448|1110686	s	Single known date/probable date	201u	NA
1110691	FCC009876489|1110691	s	Single known date/probable date	201u	NA
1110836	FCC009877709|1110836	s	Single known date/probable date	201u	NA
1110840	FCC009877713|1110840	s	Single known date/probable date	201u	NA
1110908	FCC009877911|1110908	s	Single known date/probable date	201u	NA
1111054	FCC009878481|1111054	s	Single known date/probable date	201u	NA
1111266	FCC009880004|1111266	s	Single known date/probable date	201u	NA
1111267	FCC009880010|1111267	s	Single known date/probable date	201u	NA
1111268	FCC009880024|1111268	s	Single known date/probable date	200u	NA
1111379	FCC009880745|1111379	s	Single known date/probable date	201u	NA
1111414	FCC009880974|1111414	s	Single known date/probable date	201u	NA
1111415	FCC009880979|1111415	s	Single known date/probable date	201u	NA
1111416	FCC009880995|1111416	s	Single known date/probable date	201u	NA
1111483	FCC009881779|1111483	s	Single known date/probable date	201u	NA
1111858	FCC009998682|1111858	s	Single known date/probable date	201u	NA
1111863	FCC009998710|1111863	s	Single known date/probable date	201u	NA
1111871	FCC009998791|1111871	s	Single known date/probable date	201u	NA
1111873	FCC009998801|1111873	s	Single known date/probable date	201u	NA
1112222	FCC010003501|1112222	s	Single known date/probable date	201u	NA
1116466	FCC011115673|1116466	s	Single known date/probable date	uuuu	NA
1116562	FCC011115957|1116562	s	Single known date/probable date	201u	NA
