Column1;Column2
Kausijulkaisut: HUM: virkailijat;Finnish
Kausijulkaisut: lääketiede: tilastot;Finnish
Kausijulkaisut: oikeustiede;Finnish
Kausijulkaisut: Pori: HUM: Kulttuurituotanto;Finnish
Kausijulkaisut: pääkirjasto: lukusali: kotimaiset tilastot;Finnish
Kausijulkaisut: TSE: taloustiede;Finnish
Kausijulkaisut: YHT: sosiaalipolitiikka: tilastot;Finnish
Kausijulkaisut: YHT: valtio-oppi;Finnish
Kedjeromaner;
Kehityskertomukset;Finnish
Kehitysromaanit;Finnish
Kehtolaulut;Finnish
Kehyskertomukset;Finnish
Keittokirjat;Finnish
Keltisk folkmusik;
Kelttiläinen kansanmusiikki;Finnish
Kerronta;Finnish
Kertauskirjat;Finnish
Kertomakirjallisuus;Finnish
Kertomarunot;Finnish
Kertomukset;Finnish
Kertomukset (kulttuuriset tuotokset);Finnish
Keskeislyriikka;Finnish
Keskenjääneet teokset;Finnish
Keskuslyriikka;Finnish
Ketjuromaanit;Finnish
Kielennäytteet;Finnish
Kielikurssit;Finnish
Kielioppaat;Finnish
Kielioppikirjat;Finnish
Kiertokirjeet;Finnish
Kiinankielinen kirjallisuus;Finnish
Kinesisk litteratur;
Kioskikirjallisuus;Finnish
Kiosklitteratur;
Kirja-arvostelut;Finnish
Kirjailijat;Finnish
Kirjallisuus;Finnish
Kirjallisuuslehdet;Finnish
Kirjallisuuspalkinnot;Finnish
Kirjat;Finnish
Kirjeet;Finnish
Kirjeromaanit;Finnish
Kirjoittaminen;Finnish
Kirjoituskilpailuantologiat;Finnish
Kirjoituskilpailut;Finnish
Kirkkokäsikirjat;Finnish
Kirkkomusiikki;Finnish
Kirkkonäytelmät;Finnish
Kirkolliset lehdet;Finnish
Kisällilaulut;Finnish
Klagosånger;
Klassiker;
Klassikot;Finnish
Klezmer-musiikki;Finnish
Klezmermusik;
Kohokuvakirjat;Finnish
Kokböcker;
Kokeellinen kirjallisuus;Finnish
Kokeelliset romaanit;Finnish
Kokeelliset runot;Finnish
Kokeelliset sarjakuvat;Finnish
Kokoelmaluettelot;Finnish
Kokoelmat;Finnish
Kokoomateokset;Finnish
Kokousjulkaisut;Finnish
Kollaasiromaanit;Finnish
Kollaasit;Finnish
Kollektiiviromaanit;Finnish
Kollektivromaner;
Kolumner;
Kolumnit;Finnish
Komediat;Finnish
Komedier;
Komiteanmietinnöt;Finnish
Kommellukset;Finnish
Kommentaarit;Finnish
Kommentarer;
Kommittébetänkanden;
Kommunberättelser;
Kompositioner;
Konferenspublikationer;
Konfliktiromaanit;Finnish
Konfliktromaner;
Konkordanser;
Konkordanssit;Finnish
Konserter (kompositioner);
Konsertot;Finnish
Konsertprogram;
Konsertrecensioner;
Konserttiarvostelut;Finnish
Konserttiohjelmat;Finnish
Konsolipelit;Finnish
Konsolspel;
Konstepos;
Konstmusik;
Konstnärsböcker;
Konstnärsromaner;
Konstrecensioner;
Konsttidskrifter;
Kootut teokset;Finnish
Koraalikirjat;Finnish
Koraalit;Finnish
Koraalivirsikirjat;Finnish
Koralböcker;
Koraler;
Koralpsalmböcker;
Koreankielinen kirjallisuus;Finnish
Korjausoppaat;Finnish
Korrespondens;
Korsord;
Kortnoveller;
Kortpjäser;
Kortprosa;
Kortromaner;
Kortspel;
Korttipelit;Finnish
Koskettelukirjat;Finnish
Kotieläinten jalostustiede;Finnish
Kotiseutukuvaukset;Finnish
Kotiseutulaulut;Finnish
Kotiseutulehdet;Finnish
Kouluhistoriiki;Finnish
Kouluhistoriikit;Finnish
Koululaisromaanit;Finnish
Koululehdet;Finnish
Koulunäytelmät;Finnish
Kovaksikeitetty rikoskirjallisuus;Finnish
Kreikankielinen kirjallisuus;Finnish
Krigsdagböcker;
Krigsfilmer;
Krigslitteratur;
Krigsserier (tecknade serier);
Krigsspel;
Kriittiset editiot;Finnish
Kriminalfiktion;
Kriminalfilmer;
Kriminalserier (tecknade serier);
Kriminaltidningar;
Kristen litteratur;
Kristillinen kirjallisuus;Finnish
Kritiska utgåvor;
Kroatiankielinen kirjallisuus;Finnish
Kronikaatit;Finnish
Kronikat;Finnish
Krönikor;
Kulttuurilehdet;Finnish
Kulturhistoria;Finnish
Kulturtidskrifter;
Kummitustarinat;Finnish
Kundtidningar;
Kungadramer;
Kuningasnäytelmät;Finnish
Kunnalliskertomukset;Finnish
Kuolinilmoitukset;Finnish
Kuoromusiikki;Finnish
Kupletit;Finnish
Kupletter;
Kurdinkielinen kirjallisuus;Finnish
Kurkistuskirjat;Finnish
Kurspublikationer;
Kurssijulkaisut;Finnish
Kuunnelmakäsikirjoitukset;Finnish
Kuunnelmat;Finnish
Kuvaelmat;Finnish
Kuvakielikirjat;Finnish
Kuvakirjat;Finnish
Kuvaromaanit;Finnish
Kuvarunot;Finnish
Kuvasanakirjat;Finnish
Kuvastot;Finnish
Kuvataideteokset;Finnish
Kuvatehostekirjat;Finnish
Kuvateokset;Finnish
Kuvaäänikirjat;Finnish
Kvartetot;Finnish
Kvartetter (kompositioner);
Kvickheter;
Kvinnolitteratur;
Kvinnoskildringar;
Kvintetot;Finnish
Kvintetter (kompositioner);
Kvällstidningar;
Kyberpunk;Finnish
Kymrinkielinen kirjallisuus;Finnish
Kyrkliga tidningar;
Kyrkohandböcker;
Kyrkomusik;
Kyrkospel;
Kåserier;
Källpublikationer;
Kärleksberättelser;
Kärleksdikter;
Kärleksfilmer;
Kärleksromaner;
Kärleksserier (tecknade serier);
Kärsimysnäytelmät;Finnish
Käseböcker;
Käsikirjat;Finnish
Käsikirjoitukset;Finnish
Käsiohjelmat;Finnish
Käsityölehdet;Finnish
Käsityöohjeet;Finnish
Käytösoppaat;Finnish
Käännökset;Finnish
Käänteissanakirjat;Finnish
Kääntökirjat;Finnish
Köpguider;
Körmusik;
Laatu;Finnish
Laboratory Manuals;English
Lagar;
Laghandböcker;
Lait;Finnish
Lajv;
Lakioppaat;Finnish
Lakkaasit;Finnish
Landskapssånger;
Landskapstidningar;
Lantbrukstidningar;
Lapset (ikäryhmät);Finnish
Lapsikertomukset;Finnish
Lapsikuvaukset;Finnish
Lapsikuvaus;Finnish
Lapsinäkökulma;Finnish
